,id,name,rating,price,review_count,address,city,lat,long
667,50zXDc6IqJl7hTho6Xb7bQ,Inner Sunset - Little Sweet,3.8,$$,361,"1253 9th Ave, San Francisco, CA 94122",San Francisco,37.76493,-122.46665
668,aVskw5NKrs7ibAQ54E_bZw,U :Dessert Story,4.4,$$,2882,"3489 16th St, San Francisco, CA 94114",San Francisco,37.7642642124321,-122.430517340788
669,O-W4vnk2PKCJ9AD0KGDJ6g,5 Degree Tea House,3.2,$,163,"2527 San Bruno Ave, San Francisco, CA 94134",San Francisco,37.7297882161009,-122.404394377602
670,xpxqr2WJRbLaBakdUrlfTw,STIX,4.1,$,390,"1155 Taraval St, San Francisco, CA 94116",San Francisco,37.74275495830315,-122.47870291413388
671,W7MHV3wkXnrp6o3YvkdSXQ,Tea Hut,3.6,$$,212,"1541 Sloat Blvd, San Francisco, CA 94132",San Francisco,37.73304,-122.48972
672,-XlUFPOYhUq9sIGJd6873g,OH Dessert Cafe,4.1,$$,492,"1919 Irving St, San Francisco, CA 94122",San Francisco,37.76322,-122.47851
673,jZbEgXtwXUAIRSzl_e94rg,Zero & Stonestown Galleria,3.0,N/A,24,"3251 20th Ave, Space 154, San Francisco, CA 94132",San Francisco,37.7277303,-122.4769749
674,0Rn1XAatRxzHa68PPUPLVw,Devil Angel Desserts,2.8,$$,47,"133 Serramonte Ctr, Daly City, CA 94015",Daly City,37.671559702544,-122.47075441382744
675,gqJbs_-9rAGFQzC1QZXd1g,Tea Plus,2.9,$,166,"2541 San Bruno Ave, San Francisco, CA 94134",San Francisco,37.72973,-122.40418
676,V5k0gdkT8PvX3VUZu3ws2A,SK TEA,4.3,$,45,"2250 Irving St, San Francisco, CA 94122",San Francisco,37.763507,-122.482372
677,Tes8t6pLTfiH2Q1TwNjyRA,TJ Cups,4.0,$$,363,"2437 Noriega St, San Francisco, CA 94122",San Francisco,37.75339,-122.48993
678,RqgWlpeFjR-ky6smod6jnA,Teazo,3.8,$,214,"1050 Taraval St, San Francisco, CA 94116",San Francisco,37.74311,-122.47766
679,zVROhyVPlt0Yl4iMtuzwEQ,Tea World,3.7,$$,228,"90 Eureka Sq, Ste E, Pacifica, CA 94044",Pacifica,37.6337492,-122.4887216
680,UplVWsp1X7MjOR2W3cYwEg,Quickly,1.8,$,120,"3251 20th Ave, Ste 160, Stonetown Galleria, San Francisco, CA 94132",San Francisco,37.72791,-122.47708
681,TCAHJi_MU-MeJ_OSY1hbWQ,Steep,3.8,N/A,25,"3491 19th St, San Francisco, CA 94110",San Francisco,37.75994,-122.42112
682,NsvzBa88kK7ZFsKnqc_-QA,b&b - Banh Mi & Boba,4.0,$,359,"1634 Irving St, San Francisco, CA 94122",San Francisco,37.763757967137586,-122.47565950346976
